Nome,Tipo,Caminho,URL
Chutes Alternados de Glúteos no Banco.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/143VQCCXdvDrrojC1hSVPpRQvKByqEFd2/view?usp=drivesdk
Exercícios de escada de agilidade lateral.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/112w1ERbEoFavh_sGofrXw-mFGiIvHiGj/view?usp=drivesdk
Lançamento de bola medicinal.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/141Oci5PhtM-5vYBujWekT9ujcbGhyRf5/view?usp=drivesdk
Superman.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/167s54CCQHyNtjpV4WAQLlFyI4YKA6U3-/view?usp=drivesdk
Subida no Step com Elevação de Joelhos.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/19kULFE_hzIcRg1LmWC1uc2hRM4YNnRwV/view?usp=drivesdk
Flexão de Braços com Apoio dos Joelhos Fechada.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1AYSdAzzEswlHYVxgP5eVl5T0v_x7RpbP/view?usp=drivesdk
Saltos de afastamento.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1CF3UG7B9yUYkv4gBED6otBHR2wMhtKP-/view?usp=drivesdk
Burpees.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1Cnza48WaYBA9zI2XFFf7SoQ4h-OM0dia/view?usp=drivesdk
Exercícios das 5 Marcas.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1EpdoUaRSYtnZyR0uoWuulAlFtz5VA2W6/view?usp=drivesdk
Flexão cobra.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1OTYOhTnCZk7Br9qwTsC0ClDs_-0VY_A4/view?usp=drivesdk
Polichinelo Frontal.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1OsCj_rbxAo0IOeSp1SU_CThE4MmYAIaJ/view?usp=drivesdk
Salto para Caixa 2 para 1.gif,image/gif,gifs e animaçoes/Gifs com Bonecos2/206 Gifs de Treino Funcional e HIIT,https://drive.google.com/file/d/1PzbdRfdXXzbcTnTpnYjgg_vOPQYJEhsv/view?usp=drivesdk
